LOAD_ZONE,TIMEPOINT,ev_bau_mw
Oahu,4507021206,52.0010417282534
Oahu,4507021208,79.46445375759384
Oahu,4507021210,136.5312926580521
Oahu,4507021212,156.53650817990078
Oahu,4507021214,190.88002433390255
Oahu,4507021216,205.55140990434532
Oahu,4507021218,331.2339696394416
Oahu,4507021220,307.2876215927276
Oahu,4507021222,77.00879063872574
Oahu,4507050200,59.0825616444577
Oahu,4507050202,42.801638117178236
Oahu,4507050204,43.001712627090555
Oahu,4507050206,52.0010417282534
Oahu,4507050208,79.46445375759384
Oahu,4507050210,136.5312926580521
Oahu,4507050212,156.53650817990078
Oahu,4507050214,190.88002433390255
Oahu,4507050216,205.55140990434532
Oahu,4507050218,331.2339696394416
Oahu,4507050220,307.2876215927276
Oahu,4507050222,77.00879063872574
Oahu,4507092200,59.0825616444577
Oahu,4507092202,42.801638117178236
Oahu,4507092204,43.001712627090555
Oahu,4507092206,52.0010417282534
Oahu,4507092208,79.46445375759384
Oahu,4507092210,136.5312926580521
Oahu,4507092212,156.53650817990078
Oahu,4507092214,190.88002433390255
Oahu,4507092216,205.55140990434532
Oahu,4507092218,331.2339696394416
Oahu,4507092220,307.2876215927276
Oahu,4507092222,77.00879063872574
Oahu,4507102700,59.0825616444577
Oahu,4507102702,42.801638117178236
Oahu,4507102704,43.001712627090555
Oahu,4507102706,52.0010417282534
Oahu,4507102708,79.46445375759384
Oahu,4507102710,136.5312926580521
Oahu,4507102712,156.53650817990078
Oahu,4507102714,190.88002433390255
Oahu,4507102716,205.55140990434532
Oahu,4507102718,331.2339696394416
Oahu,4507102720,307.2876215927276
Oahu,4507102722,77.00879063872574
Oahu,4507121500,59.0825616444577
Oahu,4507121502,42.801638117178236
Oahu,4507121504,43.001712627090555
Oahu,4507121506,52.0010417282534
Oahu,4507121508,79.46445375759384
Oahu,4507121510,136.5312926580521
Oahu,4507121512,156.53650817990078
Oahu,4507121514,190.88002433390255
Oahu,4507121516,205.55140990434532
Oahu,4507121518,331.2339696394416
Oahu,4507121520,307.2876215927276
Oahu,4507121522,77.00879063872574
Oahu,4508022000,59.0825616444577
Oahu,4508022002,42.801638117178236
Oahu,4508022004,43.001712627090555
Oahu,4508022006,52.0010417282534
Oahu,4508022008,79.46445375759384
Oahu,4508022010,136.5312926580521
Oahu,4508022012,156.53650817990078
Oahu,4508022014,190.88002433390255
Oahu,4508022016,205.55140990434532
Oahu,4508022018,331.2339696394416
Oahu,4508022020,307.2876215927276
Oahu,4508022022,77.00879063872574
Oahu,4508041000,59.0825616444577
Oahu,4508041002,42.801638117178236
Oahu,4508041004,43.001712627090555
Oahu,4508041006,52.0010417282534
Oahu,4508041008,79.46445375759384
Oahu,4508041010,136.5312926580521
Oahu,4508041012,156.53650817990078
Oahu,4508041014,190.88002433390255
Oahu,4508041016,205.55140990434532
Oahu,4508041018,331.2339696394416
Oahu,4508041020,307.2876215927276
Oahu,4508041022,77.00879063872574
Oahu,4508061700,59.0825616444577
Oahu,4508061702,42.801638117178236
Oahu,4508061704,43.001712627090555
Oahu,4508061706,52.0010417282534
Oahu,4508061708,79.46445375759384
Oahu,4508061710,136.5312926580521
Oahu,4508061712,156.53650817990078
Oahu,4508061714,190.88002433390255
Oahu,4508061716,205.55140990434532
Oahu,4508061718,331.2339696394416
Oahu,4508061720,307.2876215927276
Oahu,4508061722,77.00879063872574
Oahu,4508081800,59.0825616444577
Oahu,4508081802,42.801638117178236
Oahu,4508081804,43.001712627090555
Oahu,4508081806,52.0010417282534
Oahu,4508081808,79.46445375759384
Oahu,4508081810,136.5312926580521
Oahu,4508081812,156.53650817990078
Oahu,4508081814,190.88002433390255
Oahu,4508081816,205.55140990434532
Oahu,4508081818,331.2339696394416
Oahu,4508081820,307.2876215927276
Oahu,4508081822,77.00879063872574
Oahu,4508091000,59.0825616444577
Oahu,4508091002,42.801638117178236
Oahu,4508091004,43.001712627090555
Oahu,4508091006,52.0010417282534
Oahu,4508091008,79.46445375759384
Oahu,4508091010,136.5312926580521
Oahu,4508091012,156.53650817990078
Oahu,4508091014,190.88002433390255
Oahu,4508091016,205.55140990434532
Oahu,4508091018,331.2339696394416
